,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,3.734375,35.505615234375,23,320.0,3.171875,33.804443359375,22,341.0,4.515625,37.986083984375,30,431.0,11.296875,273.187255859375,28,1069.0,6.859375,132.398193359375,35,780.0,9.265625,162.398193359375,36,984.0,7.0,211.1240234375,28,718.0,3.828125,47.064208984375,21,357.0
1,6.71875,86.2646484375,28,612.0,4.015625,27.474365234375,24,379.0,5.984375,94.929443359375,26,542.0,14.234375,431.779052734375,32,1392.0,19.609375,832.820068359375,34,2150.0,20.21875,681.6162109375,28,1777.0,25.1875,1307.828125,33,2390.0,12.453125,348.726318359375,32,1188.0
2,10.890625,223.505615234375,35,1182.0,7.328125,113.060302734375,35,749.0,15.546875,573.714599609375,31,1672.0,26.34375,1352.796875,38,2919.0,22.578125,952.396240234375,30,2427.0,39.34375,2196.3427734375,35,3629.0,47.125,3335.74609375,31,4234.0,25.5,1095.7646484375,38,2657.0
3,12.15625,241.71875,40,1323.0,9.390625,158.357177734375,37,998.0,25.078125,1065.409912109375,35,2582.0,34.453125,1929.900146484375,41,3793.0,14.96875,388.9677734375,34,1620.0,44.703125,2842.691162109375,41,4614.0,51.265625,3676.482177734375,35,4790.0,26.375,1226.93359375,36,2751.0
4,17.484375,478.001708984375,41,1842.0,12.0,209.8896484375,38,1257.0,29.71875,1347.5380859375,38,3079.0,37.65625,2270.6787109375,37,3881.0,15.84375,442.0458984375,36,1644.0,41.875,2515.46875,39,4347.0,49.8125,3401.3193359375,36,4650.0,31.3125,1567.7724609375,35,2988.0
5,26.859375,1259.656005859375,38,2845.0,15.765625,415.452880859375,38,1641.0,30.234375,1423.560302734375,34,3010.0,43.8125,3048.8505859375,41,4677.0,18.421875,580.624755859375,35,1945.0,48.328125,3342.570068359375,38,5201.0,51.546875,3712.642333984375,34,4914.0,46.21875,3077.12109375,38,4705.0
6,28.5,1384.5537109375,36,2880.0,17.34375,517.140625,38,1734.0,31.984375,1907.142333984375,32,3132.0,40.875,2629.578125,42,4287.0,26.390625,1439.031005859375,35,2992.0,46.28125,3319.2802734375,37,4998.0,44.609375,2914.501708984375,34,4237.0,46.921875,3249.841552734375,39,4934.0
7,28.515625,1219.556396484375,36,2778.0,17.59375,488.0302734375,38,1734.0,29.046875,1778.341552734375,38,3009.0,30.703125,1501.757568359375,30,2797.0,25.6875,1378.546875,35,2774.0,37.859375,2167.546630859375,41,4000.0,39.6875,2446.0146484375,33,3872.0,42.828125,2844.195068359375,35,4494.0
8,23.609375,963.009521484375,39,2445.0,13.671875,313.165771484375,38,1414.0,24.703125,1139.607177734375,41,2692.0,28.171875,1306.741943359375,31,2711.0,15.28125,399.24609375,36,1509.0,31.96875,1601.203125,42,3479.0,35.3125,1954.765625,37,3793.0,32.359375,1991.948974609375,36,3503.0
9,13.59375,356.1083984375,40,1454.0,7.6875,102.2177734375,32,761.0,20.390625,806.644287109375,43,2240.0,26.359375,1240.712646484375,41,2781.0,10.765625,210.808349609375,37,1056.0,27.046875,1177.413818359375,35,2705.0,33.515625,1825.482177734375,43,3660.0,21.171875,806.052490234375,42,2412.0
10,13.15625,290.8505859375,37,1322.0,7.0,92.09375,30,702.0,15.765625,520.999755859375,40,1705.0,29.359375,1634.503662109375,41,3101.0,9.46875,124.8193359375,39,936.0,30.140625,1309.505615234375,37,3023.0,34.921875,2095.743896484375,40,3749.0,22.4375,847.8125,41,2479.0
11,15.671875,386.144287109375,37,1637.0,8.546875,132.857177734375,34,931.0,15.5,459.77734375,34,1414.0,33.703125,1900.208740234375,41,3668.0,11.859375,226.171630859375,38,1235.0,36.15625,1898.65234375,40,3904.0,35.34375,1986.6005859375,37,3610.0,25.171875,1143.732177734375,36,2767.0
12,17.6875,518.55859375,42,1904.0,9.859375,164.136474609375,35,1074.0,18.390625,482.466552734375,31,1540.0,30.171875,1446.781005859375,38,3321.0,15.359375,425.954833984375,37,1601.0,36.109375,2095.677490234375,40,4045.0,38.0,2067.6552734375,40,3692.0,29.21875,1440.0771484375,40,3119.0
13,24.90625,1070.5302734375,39,2664.0,13.453125,318.364990234375,40,1508.0,23.0625,882.3193359375,27,2121.0,29.25,1321.96484375,36,2982.0,19.9375,799.046875,36,2077.0,39.453125,2740.255615234375,40,4101.0,41.953125,2479.417724609375,40,4028.0,37.890625,2090.837646484375,40,3887.0
14,27.484375,1278.611083984375,37,2880.0,14.734375,385.843505859375,42,1617.0,21.21875,880.2958984375,26,2025.0,35.46875,1929.9365234375,36,3662.0,17.875,695.9443359375,33,1914.0,47.0625,3584.0146484375,38,4722.0,42.171875,2585.630615234375,43,4466.0,39.046875,2294.072021484375,42,4129.0
15,22.875,876.05859375,39,2372.0,12.890625,269.751708984375,38,1287.0,21.828125,821.925537109375,27,2098.0,34.53125,1915.83984375,36,3581.0,13.71875,373.68359375,35,1458.0,47.84375,3240.8115234375,41,4927.0,43.359375,2804.921630859375,46,4856.0,35.640625,1941.970458984375,47,4018.0
16,21.5625,743.49609375,40,2398.0,12.125,214.68359375,41,1272.0,23.859375,913.394287109375,31,2306.0,29.546875,1358.396240234375,38,3139.0,13.96875,322.984375,38,1440.0,39.15625,2280.8583984375,38,4222.0,40.3125,2512.3115234375,40,4155.0,36.953125,2073.917724609375,42,4154.0
17,24.71875,892.921875,39,2539.0,12.140625,232.599365234375,36,1230.0,26.296875,1173.382568359375,38,2781.0,36.515625,1981.542724609375,45,3981.0,17.390625,518.284912109375,42,1891.0,35.71875,2015.6552734375,34,3653.0,31.953125,1696.284912109375,38,3296.0,36.234375,2031.675537109375,34,3673.0
18,22.78125,812.6630859375,38,2232.0,12.09375,242.55859375,30,1172.0,30.96875,1581.0615234375,38,3335.0,39.765625,2358.066162109375,43,4061.0,20.5,678.765625,45,2369.0,44.1875,2738.1943359375,43,4695.0,28.96875,1531.7646484375,34,2873.0,35.640625,2104.140380859375,36,3610.0
19,22.40625,834.7724609375,41,2421.0,11.3125,214.9443359375,30,1150.0,29.09375,1313.40234375,41,3081.0,36.421875,1998.575927734375,37,3462.0,17.921875,493.323974609375,44,2074.0,42.21875,2589.1240234375,50,4955.0,32.5625,1595.68359375,36,3287.0,43.375,3108.7880859375,43,4962.0
20,26.34375,1037.6162109375,40,2833.0,12.21875,246.33984375,32,1196.0,28.203125,1276.954833984375,38,2878.0,34.90625,1810.265625,33,3342.0,16.265625,446.581787109375,41,1742.0,37.515625,2138.257568359375,45,3838.0,41.453125,2345.464599609375,35,4007.0,54.4375,4316.71484375,45,6022.0
21,29.65625,1477.8349609375,37,3226.0,14.734375,366.308349609375,38,1510.0,26.234375,1139.017333984375,37,2674.0,33.59375,1955.28125,36,3310.0,16.71875,504.6787109375,40,1831.0,36.859375,2225.833740234375,37,3793.0,42.078125,2586.327880859375,31,4072.0,57.65625,4467.6474609375,42,6022.0
