"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","0.33600","1500","19116","MR3 3.7.45","3.18.64","Project 1","MyoMetrics Demo Record","","","male","2015-06-23T08:45:22.000Z","Treadmill Gait with MyoMotion & EMG  - Bilateral Gait Report"

"time","Activity","Marker","Ankle Dorsiflexion 左 (deg)","Ankle Abduction 左 (deg)","Ankle Inversion 左 (deg)","Ankle Dorsiflexion 右 (deg)","Ankle Abduction 右 (deg)","Ankle Inversion 右 (deg)","TIB.ANT. 左 (uV)","TIB.ANT. 右 (uV)","MED. GASTRO 左 (uV)","MED. GASTRO 右 (uV)"
0.35867,"","",-8.859033585,2.154881239,0.3009254634,-16.15176582,-4.625421047,3.59972477,6.108499988,21.16950837,16.060313,7.105412526
0.35933,"","",-8.813100815,2.140932798,0.2583729029,-16.28138733,-4.622508526,3.607627869,6.187529749,21.43297974,16.46883697,7.150276786
0.36000,"","",-8.7677145,2.126984358,0.2155655622,-16.41166496,-4.619596481,3.615531206,6.205554079,21.56353791,16.62050609,7.196485295
0.36067,"","",-8.721781731,2.113345861,0.1727582216,-16.54128838,-4.616419315,3.623434305,6.205915772,21.62898871,16.88473105,7.250871311
0.36133,"","",-8.676395416,2.099397421,0.130205676,-16.67156601,-4.613506794,3.631713867,6.21441554,21.65033136,16.91427614,7.309290068
0.36200,"","",-8.630462646,2.08544898,0.08739833534,-16.80118752,-4.610594273,3.639617205,6.233766075,21.73815516,17.1812164,7.366364581
0.36267,"","",-8.585076332,2.071810484,0.04459098727,-16.93081093,-4.607417107,3.647520304,6.263967379,21.8178344,17.62581513,7.420750597
0.36333,"","",-8.539690971,2.057862043,0.002038445091,-17.06108856,-4.604504585,3.655423403,6.271140942,21.88529681,17.71238161,7.469703611
0.36400,"","",-8.493757248,2.043913603,-0.04076890275,-17.19071007,-4.601327419,3.663702965,6.308756938,21.97719288,17.81032652,7.506446377
0.36467,"","",-8.448371887,2.029965162,-0.0835762471,-17.3209877,-4.598415375,3.671606302,6.359936392,22.11653342,17.85752109,7.539100391
0.36533,"","",-8.378378868,2.012607098,-0.1116048694,-17.41853142,-4.579352379,3.670853615,6.397552388,22.29252444,17.86948136,7.577187405
0.36600,"","",-8.308932304,1.99493897,-0.1398883015,-17.51607704,-4.560289383,3.670477152,6.428356511,22.45492487,17.91861543,7.619363173
0.36667,"","",-8.239486694,1.977270961,-0.1681717187,-17.61362076,-4.541226387,3.669724464,6.467298713,22.59696391,17.95223349,7.664227433
0.36733,"","",-8.170040131,1.959912896,-0.1964551508,-17.71051025,-4.52189827,3.66934824,6.498102836,22.76888267,17.991864,7.709091694
0.36800,"","",-8.100593567,1.942244887,-0.2247385681,-17.80805397,-4.502835751,3.668595552,6.54458029,22.95978902,18.16713042,7.749867205
0.36867,"","",-8.030601501,1.924576759,-0.2530219853,-17.90559959,-4.483772755,3.66821909,6.687388449,23.11811717,18.35862401,7.78660997
0.36933,"","",-7.961154938,1.906908751,-0.2813054323,-18.00314331,-4.464709759,3.667466402,6.827483919,23.24931316,18.65323451,7.826041233
0.37000,"","",-7.891708851,1.889550686,-0.3095888495,-18.10068703,-4.445646763,3.667090178,6.872635167,23.36829232,18.99801349,7.860039493
0.37067,"","",-7.822262764,1.871882677,-0.3378722668,-18.19823265,-4.426583767,3.66633749,6.888549626,23.44797157,19.12033148,7.896782259
0.37133,"","",-7.7528162,1.854214549,-0.3659009039,-18.29577637,-4.40725565,3.665961027,6.890297805,23.47476028,19.21362157,7.949768018
0.37200,"","",-7.683370113,1.836856484,-0.3941843212,-18.39332008,-4.388192654,3.66520834,6.938161749,23.47510372,19.43718162,8.004154034
0.37267,"","",-7.613377094,1.819188476,-0.4224677384,-18.49086571,-4.369129658,3.664832115,7.032141453,23.47883255,19.72448665,8.042241048
0.37333,"","",-7.543931007,1.801520467,-0.4507511854,-18.58840942,-4.350066662,3.664079428,7.138298128,23.49880143,19.81234613,8.076239309
0.37400,"","",-7.474484921,1.783852339,-0.4790346026,-18.68595314,-4.331004143,3.663702965,7.229565142,23.55811929,19.84324888,8.114326323
0.37467,"","",-7.405038834,1.766494274,-0.5073180199,-18.78349686,-4.311941147,3.662950277,7.324871055,23.67577373,20.26211688,8.142947594
0.37533,"","",-7.315907001,1.740457177,-0.5264284611,-18.83979797,-4.282022476,3.651283741,7.416138069,23.8083435,20.78675244,8.16339136
0.37600,"","",-7.226775169,1.71442008,-0.5455388427,-18.89609909,-4.252368927,3.639240742,7.464002012,23.89072123,20.94921814,8.190612372
0.37667,"","",-7.137643814,1.688073039,-0.5646492839,-18.95174599,-4.222450733,3.627197742,7.473888267,23.93105149,20.98962445,8.220577891
0.37733,"","",-7.049058914,1.662035823,-0.5837597251,-19.0080452,-4.192532539,3.615154743,7.485100728,23.95509264,21.13179002,8.246454657
0.37800,"","",-6.959927082,1.635998726,-0.6028701067,-19.06434631,-4.16287899,3.603488207,7.509876648,23.96289375,21.25223315,8.273675669
0.37867,"","",-6.87079525,1.609961629,-0.6222353578,-19.12064743,-4.132960796,3.591445208,7.542790644,24.01274234,21.34009264,8.310418435
0.37933,"","",-6.781663895,1.583924532,-0.641345799,-19.17694855,-4.103307247,3.579402208,7.582516512,24.17514276,21.37642599,8.355282695
0.38000,"","",-6.692532063,1.557887435,-0.6604561806,-19.23324966,-4.073389053,3.567359209,7.62495507,24.41893966,21.40112233,8.400146955
0.38067,"","",-6.60340023,1.531850338,-0.6795666218,-19.28954887,-4.043735504,3.55531621,7.666007142,24.68309793,21.40493669,8.43280097
0.38133,"","",-6.514815331,1.505813122,-0.698677063,-19.34584999,-4.013816833,3.543649435,7.70434652,24.95535169,21.44592485,8.446467486
0.38200,"","",-6.425683975,1.479776025,-0.7177875042,-19.40149689,-3.984163523,3.531606436,7.72237085,25.22083468,21.5112861,8.450444218
