,0,1,2
0,5,2.271083300093361,8.033236446185867
1,2,0.002914794555549549,5.976123510642272
2,0,-6.631088286177144,4.337559257178887
3,0,-4.9664299819127375,0.8178218925383107
4,0,-5.326791290758434,0.8234527261020541
5,0,-5.240817677188679,1.2593213641591374
6,0,-2.449272282937023,-3.19826651048895
7,0,-4.063841912255784,-3.8101014360561143
8,0,-5.579070032765205,-2.8338967181493033
9,0,-6.470832495184838,0.30634398186903766
10,0,-7.177925542411552,2.725635629256082
11,0,-4.927634422656892,-0.46291548329368915
12,0,-36.65383560310117,-30.988460346177764
13,4,-37.59071871200236,-40.24639561330821
14,6,-4.467324590933846,-12.518261672508222
15,4,-3.76196429107946,-6.828642465546964
16,4,-2.380634512495428,-6.6172915386069295
17,4,-1.4276719423836257,-6.213702150163358
18,1,-2.6431845231062847,-8.215562558803748
19,1,-2.858761007251064,-7.98922152312972
20,4,-3.6816769900310358,-7.77580206483626
21,4,-5.431140337216333,-10.306199590366273
22,4,-4.307867049642655,-10.44309286627917
23,4,-1.40983260471085,-7.993790056251832
24,1,-0.6152306626768764,-6.8692949007640856
25,6,-1.9446184467629124,-8.085032295402364
26,6,-1.0852190047897223,-8.017017886456362
27,1,-3.8637261080765186,-0.386852310068341
28,0,-7.29677996209162,4.779594711110937
29,0,-13.389814930301448,-0.06376455478870202
30,0,-20.07976283429927,-2.2190807056101534
31,0,-14.632374197806636,1.9063619212939629
32,0,-8.530135643077097,-8.674641582019785
33,6,-8.91047493322872,-16.567829681585863
34,0,-13.304336306018309,-6.501386947186953
35,0,-12.331905195160367,-2.955100046564344
36,0,-9.365422619727758,-0.24333788601877537
37,0,-11.066978434152908,-1.4564669934206742
38,0,-11.38342389279781,-0.10396360897259749
39,0,-13.730278108169909,-1.3515613940705715
40,0,-15.625909003473978,0.8090755762357156
41,0,-10.230960331056831,-3.429286981931492
42,6,-6.525373972987288,-11.965398826583083
43,6,-4.839402822094209,-13.863907387897177
44,6,-0.11552962287673152,-19.294138925898178
45,6,-2.05907165337908,-15.89283556248433
46,6,-4.845975398239142,-18.658795286994092
47,6,-5.196611542249278,-17.78731291344058
48,6,-6.393327208998416,-13.991831540648068
49,6,-6.449938251704615,-20.42998049864725
50,6,-2.255245065031315,-33.47586184387134
51,6,-1.7763786787824407,-29.17564850153092
52,0,-6.592474527198913,-8.864371983646736
53,0,-7.289128461560272,-10.031919130262953
54,6,-6.616073884919797,-11.321725464451951
55,0,-5.275134015325274,-7.323848053365931
56,0,-8.618278235044741,-4.103852635692171
57,0,-10.05796680143283,-4.562762430155566
58,6,-11.52124755731491,-13.691306175902648
59,6,-11.892528634211416,-16.000461878580012
60,6,-6.0665172908184655,-8.409881974399527
61,1,-1.826123257427416,-5.67851307186064
62,1,-1.2544915968154826,-5.889885762352804
63,1,-1.0186198779261852,-5.350082056153962
64,1,-2.077564633152071,-7.152184993635515
65,4,-1.722608162125986,-7.58095780353327
66,4,-0.804479662846038,-6.155545597174967
67,1,-0.7222116360678479,-6.251983257880305
68,1,-0.9418421370316827,-6.351177595980058
