,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,17.34375,527.8583984375,32,1799.0,52.890625,4300.284912109375,29,5050.0,40.453125,2409.333740234375,43,4318.0,3.890625,22.786865234375,24,350.0,29.640625,1393.249755859375,36,2948.0,29.984375,1371.300537109375,38,3137.0,30.8125,1645.453125,32,2930.0,15.6875,434.734375,37,1569.0,0
1,16.0625,470.5625,34,1767.0,46.5625,3509.1552734375,33,4587.0,37.9375,2200.1943359375,37,3764.0,3.9375,21.90234375,19,315.0,27.984375,1149.782958984375,33,2439.0,30.390625,1450.308349609375,36,3249.0,30.109375,1511.825927734375,32,2820.0,13.484375,329.353271484375,36,1472.0,0
2,16.6875,475.18359375,39,1821.0,46.0,3067.671875,39,4579.0,36.453125,2145.122802734375,34,3456.0,3.734375,19.523193359375,24,307.0,28.265625,1158.474365234375,33,2499.0,28.265625,1300.591552734375,34,2910.0,25.921875,1177.665771484375,37,2560.0,11.421875,246.693115234375,35,1198.0,0
3,12.046875,264.189208984375,37,1253.0,39.484375,2301.126708984375,42,4051.0,31.234375,1697.822021484375,36,3058.0,3.703125,20.048583984375,33,357.0,23.578125,828.111083984375,32,2115.0,19.96875,657.5224609375,37,2056.0,18.71875,600.93359375,35,1979.0,7.5,95.125,34,771.0,0
4,8.375,107.18359375,33,807.0,32.859375,1770.747802734375,40,3468.0,27.46875,1245.5224609375,34,2725.0,3.640625,18.786865234375,30,346.0,22.171875,785.941162109375,34,2187.0,20.5625,694.171875,44,2274.0,18.578125,652.189208984375,32,1839.0,7.046875,88.915771484375,30,683.0,0
5,9.109375,148.269287109375,37,943.0,33.59375,1876.80859375,37,3507.0,32.796875,1755.937255859375,31,3113.0,3.25,14.5849609375,25,266.0,25.0,1060.0849609375,35,2654.0,20.0625,635.6708984375,45,2298.0,18.671875,606.868896484375,34,1876.0,7.234375,94.886474609375,28,712.0,0
6,10.40625,187.8974609375,41,1163.0,28.828125,1519.411865234375,36,2997.0,34.0,2003.58984375,33,3554.0,3.140625,14.751708984375,24,260.0,23.828125,948.253662109375,43,2715.0,16.609375,485.314208984375,40,1715.0,13.90625,330.5458984375,36,1428.0,6.59375,87.4833984375,31,724.0,0
7,8.859375,142.058349609375,35,903.0,27.875,1342.40234375,41,2964.0,33.03125,1797.4443359375,42,3755.0,3.6875,20.78125,25,335.0,19.3125,616.1943359375,41,2015.0,16.5625,542.8271484375,35,1595.0,13.84375,385.30859375,36,1449.0,6.234375,73.802490234375,31,630.0,0
8,7.578125,102.675537109375,37,739.0,32.625,1625.625,37,3186.0,31.96875,1601.65234375,42,3379.0,3.171875,17.675537109375,22,300.0,16.328125,388.292724609375,33,1351.0,18.125,570.37109375,36,1829.0,15.234375,424.501708984375,35,1626.0,5.5,53.49609375,29,527.0,0
9,7.140625,89.208740234375,37,753.0,26.796875,1245.933349609375,38,2720.0,31.265625,1574.093505859375,39,3349.0,2.90625,13.46484375,17,225.0,17.421875,416.195068359375,36,1491.0,19.578125,600.486083984375,38,2085.0,16.5625,464.203125,38,1801.0,4.640625,35.749755859375,31,482.0,0
10,6.75,78.421875,31,671.0,29.859375,1605.087646484375,44,3290.0,28.578125,1382.462646484375,44,3279.0,3.5625,18.2724609375,24,300.0,19.75,615.6630859375,45,2102.0,19.296875,567.396240234375,36,2026.0,18.546875,608.714599609375,42,2034.0,5.046875,44.036865234375,31,476.0,0
11,8.46875,107.9365234375,35,824.0,38.75,2390.90234375,44,4284.0,29.96875,1653.46875,44,3347.0,3.34375,18.0380859375,26,315.0,22.859375,990.429443359375,45,2569.0,21.4375,690.8427734375,35,2126.0,18.53125,595.3583984375,41,1985.0,5.9375,54.52734375,35,580.0,0
12,9.078125,133.605224609375,32,909.0,36.4375,2031.6875,41,3777.0,31.53125,1715.5849609375,40,3419.0,3.40625,17.18359375,22,275.0,25.96875,1249.3662109375,38,2789.0,20.453125,641.904052734375,37,2151.0,16.421875,507.454833984375,41,1779.0,6.5,67.24609375,39,651.0,0
13,7.953125,102.544677734375,31,776.0,32.828125,1657.710693359375,38,3451.0,30.328125,1569.898193359375,38,3076.0,4.390625,26.464599609375,24,366.0,26.5625,1141.890625,43,2948.0,16.046875,443.165771484375,32,1703.0,17.15625,636.484375,39,1899.0,6.640625,82.687255859375,37,692.0,0
14,8.640625,113.970458984375,35,867.0,31.234375,1603.308349609375,40,3412.0,27.703125,1377.384521484375,31,2628.0,4.40625,27.1787109375,28,394.0,21.234375,729.169677734375,42,2282.0,15.71875,420.7802734375,33,1596.0,18.046875,632.804443359375,34,1911.0,6.609375,77.685302734375,35,688.0,0
15,8.65625,120.9052734375,30,817.0,28.03125,1343.9365234375,41,3010.0,22.046875,875.841552734375,27,2081.0,3.546875,17.603271484375,26,303.0,18.25,556.59375,32,1693.0,16.15625,410.3740234375,38,1725.0,20.765625,803.128662109375,36,2208.0,6.671875,89.630615234375,34,672.0,0
16,8.03125,109.2568359375,36,821.0,28.40625,1357.6865234375,41,3104.0,22.5625,878.65234375,32,2222.0,3.359375,16.052490234375,25,275.0,22.984375,788.197021484375,35,2259.0,18.1875,540.953125,37,1935.0,23.65625,978.7099609375,40,2510.0,6.578125,87.732177734375,30,639.0,0
17,7.515625,102.646240234375,34,821.0,25.953125,1032.193115234375,39,2726.0,23.78125,1055.125,40,2497.0,3.421875,15.814208984375,26,288.0,22.484375,768.779052734375,41,2459.0,20.625,679.484375,39,2113.0,19.6875,683.02734375,39,2061.0,5.4375,46.7255859375,30,527.0,0
18,6.484375,75.122802734375,29,669.0,20.3125,628.9990234375,36,2139.0,24.953125,1173.831787109375,43,2653.0,3.390625,14.728271484375,34,335.0,18.640625,570.493896484375,43,2082.0,20.71875,661.21875,41,2134.0,19.78125,716.1552734375,37,2059.0,5.09375,43.046875,36,528.0,0
19,6.15625,59.58984375,34,597.0,20.8125,739.90234375,32,2091.0,24.90625,1032.8271484375,39,2603.0,2.96875,12.58984375,35,299.0,18.890625,621.683349609375,39,2031.0,18.390625,518.771240234375,37,1890.0,18.28125,557.578125,37,1849.0,5.078125,43.691162109375,29,503.0,0
20,6.515625,65.247802734375,36,607.0,26.09375,1056.65625,34,2506.0,22.71875,860.34375,36,2237.0,3.03125,13.2802734375,25,265.0,19.46875,676.953125,29,1955.0,16.15625,444.7724609375,37,1706.0,19.046875,652.554443359375,35,1993.0,5.25,52.6865234375,27,542.0,0
21,6.265625,59.068115234375,29,566.0,26.4375,1008.46484375,39,2699.0,23.828125,923.312255859375,45,2589.0,3.140625,13.991943359375,21,261.0,15.953125,429.234130859375,28,1479.0,16.140625,433.308349609375,35,1604.0,17.5,624.9052734375,33,1872.0,4.421875,42.878662109375,31,469.0,0
22,7.296875,82.140380859375,25,674.0,23.890625,811.560302734375,34,2493.0,24.65625,1019.234375,41,2681.0,3.140625,14.413818359375,21,250.0,16.6875,410.6005859375,33,1558.0,16.515625,433.075927734375,36,1618.0,13.078125,338.202880859375,37,1386.0,4.046875,31.894287109375,26,422.0,0
