,0,1,2,3,4,5
0,4,-1.5060218653517956,-3.4104436489298413,4,-1.5060218653517956,-3.4104436489298413
1,1,-1.7317144711670034,-2.7018750759848285,1,-1.7317144711670034,-2.7018750759848285
2,4,-1.168547951327394,-3.532641010648479,4,-1.168547951327394,-3.532641010648479
3,5,-1.7607846219241876,-4.9009845437033475,5,-1.7607846219241876,-4.9009845437033475
4,5,-2.51923681368185,-5.13711949619361,5,-2.51923681368185,-5.13711949619361
5,5,-2.1432655482668728,-5.890522145054834,5,-2.1432655482668728,-5.890522145054834
6,5,-2.6406645390897854,-5.337094913390877,5,-2.6406645390897854,-5.337094913390877
7,5,-2.3380387147037816,-4.5705040607704746,5,-2.3380387147037816,-4.5705040607704746
8,5,-2.0214115852932,-4.921107237090511,5,-2.0214115852932,-4.921107237090511
9,5,-2.262370018475943,-4.02357523728332,5,-2.262370018475943,-4.02357523728332
10,1,-2.2702856544682835,-3.434957415647074,1,-2.2702856544682835,-3.434957415647074
11,5,-2.445599974610751,-3.86171723883858,5,-2.445599974610751,-3.86171723883858
12,5,-2.423769169305573,-4.091224965342066,5,-2.423769169305573,-4.091224965342066
13,5,-2.601619720454196,-4.823482129851378,5,-2.601619720454196,-4.823482129851378
14,5,-2.6055217324764506,-4.8278004459698,5,-2.6055217324764506,-4.8278004459698
15,5,-2.2556005345735333,-4.755518112845364,5,-2.2556005345735333,-4.755518112845364
16,5,-1.8399722982855842,-5.118693715984661,5,-1.8399722982855842,-5.118693715984661
17,5,-1.9292170419566501,-6.12975515786851,5,-1.9292170419566501,-6.12975515786851
18,5,-1.7165511128146667,-6.316628804237673,5,-1.7165511128146667,-6.316628804237673
19,5,-1.6116536238950543,-6.014311339313367,5,-1.6116536238950543,-6.014311339313367
20,5,-1.7727316576568684,-6.288207116854897,5,-1.7727316576568684,-6.288207116854897
21,5,-2.2433516818323227,-6.026013853625265,5,-2.2433516818323227,-6.026013853625265
22,5,-2.6376220600221085,-5.980891365196359,5,-2.6376220600221085,-5.980891365196359
23,5,-3.0464440020070134,-5.952975772948004,5,-3.0464440020070134,-5.952975772948004
24,5,-2.649964404331023,-5.239791672993908,5,-2.649964404331023,-5.239791672993908
25,5,-2.343486057207074,-5.370522106037404,5,-2.343486057207074,-5.370522106037404
26,5,-2.581526519931497,-3.682803169311908,5,-2.581526519931497,-3.682803169311908
27,1,-3.7432913637547434,-0.26727990544508223,1,-3.7432913637547434,-0.26727990544508223
28,0,-5.940878783457324,2.45548886790697,0,-5.940878783457324,2.45548886790697
29,0,-5.6568274224520145,3.1174930807616583,0,-5.6568274224520145,3.1174930807616583
30,0,-7.389282712746053,2.9957126542651524,0,-7.389282712746053,2.9957126542651524
31,0,-9.842528869981495,3.5476055790088696,0,-9.842528869981495,3.5476055790088696
32,0,-7.110437715204384,2.8859852484706257,0,-7.110437715204384,2.8859852484706257
33,0,-5.903188541769332,3.0954173226847908,0,-5.903188541769332,3.0954173226847908
34,0,-6.669564450816694,3.3185821060107408,0,-6.669564450816694,3.3185821060107408
35,0,-6.69037835278622,3.5059170083187197,0,-6.69037835278622,3.5059170083187197
36,0,-7.158593797829699,3.6931652602431044,0,-7.158593797829699,3.6931652602431044
37,0,-9.281251701058848,3.8147272994984327,0,-9.281251701058848,3.8147272994984327
38,0,-9.55524494658674,3.8859686535491305,0,-9.55524494658674,3.8859686535491305
39,0,-9.41718417477412,4.201054169365752,0,-9.41718417477412,4.201054169365752
40,0,-7.065631223731167,3.819126890499958,0,-7.065631223731167,3.819126890499958
41,0,-6.743917036989434,3.243974758485647,0,-6.743917036989434,3.243974758485647
42,0,-8.11256894425746,2.653120170899906,0,-8.11256894425746,2.653120170899906
43,0,-8.76629973984848,3.644183699733504,0,-8.76629973984848,3.644183699733504
44,0,-8.061251250692708,3.768366170264291,0,-8.061251250692708,3.768366170264291
45,0,-7.092027892870009,3.534401879866062,0,-7.092027892870009,3.534401879866062
46,0,-8.535273255323245,3.689322262700882,0,-8.535273255323245,3.689322262700882
47,0,-9.25134603748796,4.07871310002225,0,-9.25134603748796,4.07871310002225
48,0,-8.942546094308131,2.871000297534087,0,-8.942546094308131,2.871000297534087
49,0,-8.582721889194548,2.9764695875294347,0,-8.582721889194548,2.9764695875294347
50,0,-7.739597448745249,3.935086320500425,0,-7.739597448745249,3.935086320500425
51,0,-7.342300149725379,4.1541309687049495,0,-7.342300149725379,4.1541309687049495
52,0,-3.1391957439930693,4.490742579156701,0,-3.1391957439930693,4.490742579156701
53,4,3.1431990148501394,1.1261394413073404,4,3.1431990148501394,1.1261394413073404
54,4,2.218255318224474,-3.419419601359002,4,2.218255318224474,-3.419419601359002
55,4,0.43449125700435287,-5.920276327021448,4,0.43449125700435287,-5.920276327021448
56,5,0.23015632820027854,-6.259836810082806,5,0.23015632820027854,-6.259836810082806
57,5,0.06239780541371509,-6.536854235319045,5,0.06239780541371509,-6.536854235319045
58,5,0.0693777631456527,-7.119276618088761,5,0.0693777631456527,-7.119276618088761
59,5,0.15068646975315136,-7.020099941872985,5,0.15068646975315136,-7.020099941872985
60,5,0.40648426135704785,-6.917127572978164,5,0.40648426135704785,-6.917127572978164
61,5,0.2179113771040151,-7.209433839307986,5,0.2179113771040151,-7.209433839307986
62,5,-0.4378629575137447,-6.264361144291219,5,-0.4378629575137447,-6.264361144291219
63,5,-0.3772539188818933,-5.3132437020443515,5,-0.3772539188818933,-5.3132437020443515
64,5,-0.3675210550851764,-5.812424194025208,5,-0.3675210550851764,-5.812424194025208
65,5,-0.20063695098707068,-5.8036213543529716,5,-0.20063695098707068,-5.8036213543529716
66,5,0.3604142467897913,-4.987487469671754,5,0.3604142467897913,-4.987487469671754
67,5,0.9897214282185485,-5.653311872069291,5,0.9897214282185485,-5.653311872069291
68,5,1.2116950055239992,-6.588465462127028,5,1.2116950055239992,-6.588465462127028
69,5,1.085357402781344,-6.20890818471392,5,1.085357402781344,-6.20890818471392
70,5,0.5487757290699977,-5.754442838502553,5,0.5487757290699977,-5.754442838502553
71,5,0.3261408403368202,-6.1601876237174835,5,0.3261408403368202,-6.1601876237174835
72,5,0.518517923487444,-6.029380835278641,5,0.518517923487444,-6.029380835278641
73,5,-0.16194837850041743,-6.132228991522374,5,-0.16194837850041743,-6.132228991522374
74,5,-0.5032717067218222,-5.529071730309235,5,-0.5032717067218222,-5.529071730309235
75,5,-0.39222339130054795,-5.683413102502319,5,-0.39222339130054795,-5.683413102502319
76,5,-0.3121237902402161,-6.394625753901352,5,-0.3121237902402161,-6.394625753901352
77,5,0.42188911585547784,-5.912158296275175,5,0.42188911585547784,-5.912158296275175
78,5,0.23107230897865572,-6.138679715345839,5,0.23107230897865572,-6.138679715345839
79,4,0.4035028638639728,-5.840931319239286,4,0.4035028638639728,-5.840931319239286
80,4,0.4864263413029817,-5.062554531581072,4,0.4864263413029817,-5.062554531581072
81,4,-0.9195237101149152,-2.555183783575963,4,-0.9195237101149152,-2.555183783575963
82,1,-2.594867715856182,1.0864333927581522,1,-2.594867715856182,1.0864333927581522
83,0,-4.8962103682221905,2.8757728469524797,0,-4.8962103682221905,2.8757728469524797
84,0,-4.724583915675446,3.4273183579127293,0,-4.724583915675446,3.4273183579127293
85,0,-3.4972612057730172,1.8769028068154319,0,-3.4972612057730172,1.8769028068154319
86,0,-3.5906680834258338,1.551041746830771,0,-3.5906680834258338,1.551041746830771
87,0,-2.56833364525472,1.5373576642639382,0,-2.56833364525472,1.5373576642639382
88,0,-2.5625638403562903,1.4630577234395834,0,-2.5625638403562903,1.4630577234395834
89,0,-4.260527192268942,2.4893452226899804,0,-4.260527192268942,2.4893452226899804
90,0,-5.950438249110888,3.176102466756576,0,-5.950438249110888,3.176102466756576
91,0,-8.042726952155554,3.923006017419723,0,-8.042726952155554,3.923006017419723
92,0,-9.311221540220824,5.07580118586301,0,-9.311221540220824,5.07580118586301
93,0,-7.274300080011912,3.961424162136716,0,-7.274300080011912,3.961424162136716
94,0,-8.155429058274615,4.262886012290479,0,-8.155429058274615,4.262886012290479
95,0,-8.355672358711095,4.323272397962812,0,-8.355672358711095,4.323272397962812
96,0,-6.28529019844824,3.6246095771966487,0,-6.28529019844824,3.6246095771966487
97,0,-6.561253415895155,3.313660914095838,0,-6.561253415895155,3.313660914095838
98,0,-7.122055572145579,3.639181132843583,0,-7.122055572145579,3.639181132843583
99,0,-6.997260801481689,3.2945261454561288,0,-6.997260801481689,3.2945261454561288
100,0,-6.960403546563883,3.0994003093407634,0,-6.960403546563883,3.0994003093407634
101,0,-6.671745520537981,3.153972522611637,0,-6.671745520537981,3.153972522611637
102,0,-6.095299898525909,2.6680884072291198,0,-6.095299898525909,2.6680884072291198
103,0,-6.366599764868195,3.107463132235932,0,-6.366599764868195,3.107463132235932
