,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,7.453125,87.698974609375,42,797.0,3.796875,21.450927734375,43,421.0,3.609375,20.236083984375,27,326.0,6.734375,78.048583984375,33,673.0,8.765625,136.290771484375,32,855.0,13.71875,297.2958984375,42,1365.0,23.296875,889.810302734375,35,2350.0,5.90625,57.90625,32,611.0,0
1,7.34375,82.8505859375,42,832.0,3.84375,22.8662109375,45,433.0,3.546875,18.128662109375,27,340.0,6.828125,67.671630859375,35,682.0,9.46875,149.7802734375,36,965.0,15.421875,357.999755859375,39,1535.0,26.375,1102.5625,41,2764.0,6.609375,67.388427734375,37,715.0,0
2,7.46875,95.18359375,36,825.0,4.03125,26.9912109375,35,439.0,3.765625,20.724365234375,37,418.0,7.671875,81.554443359375,42,837.0,9.53125,150.0146484375,35,1012.0,15.375,377.6708984375,34,1538.0,27.453125,1215.271240234375,43,3033.0,6.78125,73.4833984375,41,724.0,0
3,7.375,90.171875,31,764.0,3.875,24.390625,34,409.0,3.890625,23.370849609375,35,400.0,8.0,110.0927734375,38,881.0,9.78125,192.8974609375,33,1065.0,13.09375,288.83984375,36,1277.0,24.3125,990.484375,38,2617.0,5.59375,56.1552734375,38,614.0,0
4,7.71875,84.58984375,38,801.0,4.203125,27.900146484375,36,448.0,3.984375,24.226318359375,35,405.0,8.1875,112.1474609375,34,869.0,10.34375,203.265625,40,1161.0,13.796875,287.843505859375,45,1535.0,24.0625,943.30859375,35,2437.0,6.421875,71.587646484375,37,715.0,0
5,8.078125,98.743896484375,38,840.0,4.28125,28.546875,28,393.0,3.796875,19.546630859375,29,338.0,7.8125,90.46875,36,805.0,9.28125,136.3427734375,37,957.0,13.453125,290.989990234375,39,1426.0,26.34375,1058.7880859375,39,2595.0,6.515625,71.132568359375,39,698.0,0
6,8.140625,97.759521484375,35,773.0,3.921875,23.476318359375,25,344.0,3.5625,17.484375,26,324.0,7.875,88.58984375,40,807.0,8.03125,102.296875,29,758.0,12.015625,272.282958984375,36,1230.0,24.625,925.43359375,38,2484.0,5.640625,48.878662109375,35,592.0,0
7,8.53125,107.3193359375,32,789.0,3.6875,20.12109375,25,327.0,3.46875,18.375,34,349.0,7.40625,78.4130859375,40,715.0,9.140625,130.429443359375,28,897.0,14.34375,412.828125,42,1605.0,26.46875,1148.15234375,34,2610.0,6.65625,68.203125,30,599.0,0
8,9.015625,129.704833984375,35,909.0,4.40625,31.265625,27,433.0,3.546875,18.683349609375,33,346.0,7.109375,80.706787109375,37,718.0,9.8125,144.6552734375,32,1008.0,16.375,489.1474609375,39,1796.0,28.34375,1228.2255859375,35,2818.0,7.46875,85.203125,38,737.0,0
9,8.984375,137.509521484375,38,927.0,5.0,37.4052734375,27,491.0,3.90625,22.234375,30,377.0,7.53125,89.21484375,34,738.0,9.4375,135.921875,34,934.0,17.6875,522.80859375,37,1772.0,26.375,1060.3583984375,36,2691.0,8.328125,119.255615234375,44,952.0,0
10,10.65625,208.6396484375,40,1178.0,5.609375,44.925537109375,33,568.0,4.96875,35.234375,36,514.0,7.734375,96.257568359375,26,697.0,11.234375,212.593505859375,31,1102.0,16.859375,462.837646484375,34,1708.0,27.09375,1139.0927734375,37,2709.0,9.25,148.34375,40,1065.0,0
11,12.625,263.265625,38,1332.0,5.6875,48.77734375,38,613.0,4.8125,33.96484375,37,496.0,8.421875,115.923583984375,31,856.0,12.515625,252.337646484375,31,1289.0,16.796875,446.989990234375,31,1598.0,22.34375,808.1005859375,37,2199.0,10.046875,161.519287109375,39,1098.0,0
12,13.171875,282.997802734375,37,1407.0,5.703125,58.136474609375,33,619.0,3.984375,24.499755859375,32,390.0,8.828125,121.521240234375,40,985.0,10.71875,183.1865234375,37,1143.0,19.140625,530.345458984375,37,1839.0,25.265625,1079.462646484375,43,2747.0,9.9375,151.55859375,45,1136.0,0
13,13.625,306.5849609375,40,1530.0,6.21875,71.2724609375,35,694.0,4.796875,41.169677734375,32,510.0,8.46875,122.03125,39,875.0,11.0,203.3740234375,37,1084.0,19.765625,726.374755859375,36,2116.0,27.328125,1256.099365234375,40,3072.0,9.40625,136.0849609375,41,1080.0,0
14,13.03125,276.71875,42,1432.0,5.734375,58.198974609375,34,606.0,4.9375,39.390625,37,517.0,8.921875,141.468505859375,35,916.0,11.9375,237.5302734375,34,1218.0,18.640625,700.974365234375,36,2063.0,23.8125,980.3037109375,30,2513.0,10.203125,163.847412109375,39,1145.0,0
15,10.875,190.8583984375,36,1100.0,4.953125,38.964599609375,27,461.0,4.234375,22.972412109375,37,372.0,8.46875,120.74609375,34,927.0,11.5,199.77734375,36,1223.0,15.953125,401.114990234375,38,1669.0,28.359375,1350.669677734375,31,2920.0,9.3125,147.6396484375,33,1000.0,0
